STT,TÊN,Giá,Loại,Đánh giá,Kho
1,Apple Watch S6 40mm viền nhôm dây cao su,10.191.000,Đồng hồ,5,100
2,Apple Watch S6 44mm viền nhôm dây cao su,11.041.000,Đồng hồ,4.5,100
3,Apple Watch S3 GPS 42mm viền nhôm dây cao su,6.151.000,Đồng hồ,5,100
4,Apple Watch SE 44mm viền nhôm dây cao su,9.390.000,Đồng hồ,5,100
5,Apple Watch S6 LTE 40mm viền thép dây thép,17.841.000,Đồng hồ,5,100
6,Samsung Galaxy Watch 4 40mm,6.490.000,Đồng hồ,5,100
7,Vòng tay thông minh Samsung Galaxy Fit2 đen,7.500.000,Đồng hồ,5,100
8,Samsung Galaxy Watch 3 41mm viền thép bạc dây da,4.490.000,Đồng hồ,5,100
9,Samsung Galaxy Watch Active 2 44mm viền nhôm dây sillicone,2.490.000,Đồng hồ,5,100
10,Samsung Galaxy Watch 4 Classic 46mm,8.990.000,Đồng hồ,5,100
11,Đồng hồ thông minh Amazfit GTS 2 mini,1.990.000,Đồng hồ,5,100
12,Đồng hồ thông minh Amazfit Neo,6.490.000,Đồng hồ,5,100
13,Đồng hồ thông minh Huami Amazfit GTR 42mm trắng,2.990.000,Đồng hồ,5,100
14,Đồng hồ thông minh Huami Amazfit T-Rex Camo,3.299.000,Đồng hồ,5,100
15,Đồng hồ thông minh Mi Watch,2.990.000,Đồng hồ,5,100
16,Màn hình LCD Samsung Smart Monitor M5 27 inch Full HD,8.090.000,màn hình,5,100
17,Samsung LCD Gaming 24 inch Full HD ,6.590.000,màn hình,5,100
18,Màn hình Samsung LCD Smart Monitor M5 32 inch Full HD,9.090.000,màn hình,5,100
19,Samsung LCD Gaming 32 inch WQHD 144Hz,10.790.000,màn hình,5,100
20,Samsung LCD Gaming 27 inch Full HD 240Hz,8.990.000,màn hình,5,100
21,Asus LCD ProArt PA247CV 23.8 inch Full HD 75Hz,6.790.000,màn hình,4.5,100
22,"Asus LCD VY249HE 23.8"" Full HD/1ms/75Hz",3.990.000,màn hình,4.5,100
23,ASUS LCD TUF Gaming 27 inch Full HD (VG27VQ),6.590.000,màn hình,4.5,100
24,Asus LCD ProArt PA278CV 27 inch 2K 75Hz 5ms,10.490.000,màn hình,4.5,100
25,Asus LCD TUF Gaming 27 inch Full HD 280Hz 1ms,11.490.000,màn hình,4.5,100
26,HP LCD 5RD66AA P204v 19.5inch HD+,3.290.000,màn hình,4.5,100
27,Lenovo LCD Legion Gaming G27c-10 27 inch,5.990.000,màn hình,4.5,100
28,LG LCD UltraGear Gaming 27GL650,7.290.000,màn hình,4.5,100
29,Lenovo LCD Legion Gaming Y25-25 24.5 inch,8.990.000,màn hình,4.5,100
30,LG LCD UltraGear Gaming 27GL650F-B.ATV 27 inch,7.290.000,màn hình,4.5,100
31,Chuột không dây Logitech MX Anywhere 3 Đen,1.799.000,chuột,4.5,100
32,Chuột không dây Logitech MX Master 3 Đen,2.241.000,chuột,4.5,100
33,Chuột Gaming Logitech G102 Gen2 Lightsync,5.990.000,chuột,4.5,100
34,Chuột Gaming Logitech G502 Hero Đen,1.251.000,chuột,5,100
35,Chuột Bluetooth Logitech MX Master 2S Đen,1.611.000,chuột,5,100
36,Chuột Có Dây Gaming Razer Viper Mini,1.090.000,chuột,5,100
37,Chuột Có Dây Gaming Razer DeathAdder Essential,7.490.000,chuột,5,100
38,Chuột Không Dây Gaming Razer Basilisk x HyperSpeed,1.197.000,chuột,5,100
39,Chuột Gaming Corsair Nightsword RGB Tunable FBS/MOBA Đen,1.881.000,chuột,4.5,100
40,Chuột Gaming Corsair Harpoon RGB Pro FBS/MOBA Đen,4.500.000,chuột,4.5,100
41,Chuột Không Dây Rapoo M216 Đen,2.000.000,chuột,4.5,100
42,Chuột Không Dây Bluetooth Rapoo M160 Đen,2.200.000,chuột,4.5,100
43,Chuột Có Dây Gaming Rapoo VT30 Đen,6.900.000,chuột,4.5,100
44,Chuột Gaming Rapoo VT200 Đen,5.900.000,chuột,4.5,100
45,Chuột Bluetooth Silent Rapoo M500,5.000.000,chuột,4.5,100
46,iPhone 13 Pro Max,32.990.000,điện thoại,4.5,100
47,iPhone 13 Pro,29.990.000,điện thoại,4.5,100
48, iPhone 12 Pro Max,31.990.000,điện thoại,4.5,100
49,iPhone 12 Pro ,28.490.000,điện thoại,4.5,100
50,iPhone 11,16.990.000,điện thoại,4.5,100
51,Điện thoại Samsung Galaxy Z Fold3 5G 512GB,44.990.000,điện thoại,4.5,100
52,Samsung Galaxy Z Flip3 5G 256GB,26.990.000,điện thoại,4.5,100
53,Samsung Galaxy S21 Ultra 5G 128GB,25.990.000,điện thoại,4.5,100
54,Samsung Galaxy Note 20,15.990.000,điện thoại,4.5,100
55,Samsung Galaxy A72,11.490.000,điện thoại,4.5,100
56, Xiaomi Mi 11 5G,19.990.000,điện thoại,4.5,100
57,Xiaomi 11T Pro 5G,14.990.000,điện thoại,4.5,100
58,Xiaomi Mi 10T Pro 5G,12.990.000,điện thoại,4.5,100
59,Xiaomi Redmi Note 10S,6.490.000,điện thoại,4.5,100
60,Xiaomi Redmi Note 10 Pro,7.490.000,điện thoại,4.5,100
61,Apple MacBook Pro M1 2020 16GB/512GB,44.990.000,laptop,4.5,100
62, MacBook Pro M1 2020 8GB/512GB,39.990.000,laptop,4.5,100
63,MacBook Pro M1 2020 8GB/256GB,34.990.000,laptop,4.5,100
64,MacBook Air M1 2020 8GB/512GB/8-core GPU,34.990.000,laptop,4.5,100
65,MacBook Air M1 2020 16GB/256GB/7-core GPU,33.990.000,laptop,4.5,100
66,Dell Gaming G15 5515 R7 5800H (70258049),30.990.000,laptop,4.5,100
67,Dell Inspiron 7501 i5 10300H (N5I5012W) ,30.490.000,laptop,4.5,100
68,Dell Gaming G3 15 i7 10750H (P89F002DBL) ,29.990.000,laptop,4.5,100
69,Dell Vostro 5301 i7 1165G7 (V3I7129W) ,26.990.000,laptop,4.5,100
70,Dell Latitude 3520 i5 1135G7 (70251593) ,24.690.000,laptop,4.5,100
71,Asus ExpertBook B9400CEA i7 1165G7 (KC0790T) ,36.490.000,laptop,4.5,100
72,Asus ZenBook Flip UX363EA i7 1165G7 (HP163T) ,33.490.000,laptop,4.5,100
73,Asus ZenBook Duo UX482EA i5 1135G7 (KA274T) ,32.490.000,laptop,4.5,100
74,Asus TUF Gaming FX516PM i7 11370H (HN023T) ,32.490.000,laptop,4.5,100
75,Asus VivoBook Pro 15 OLED K3500PC i7 11370H (L1046T) ,31.990.000,laptop,4.5,100
76,iPad Pro 12.9 inch Wifi 128GB (2020) ,26.790.000,ipad,4.5,100
77,iPad Pro 11 inch Wifi Cellular 128GB (2020) ,26.290.000,ipad,4.5,100
78,iPad mini 6 WiFi Cellular 256GB ,25.790.000,ipad,4.5,100
79,iPad mini 6 WiFi Cellular 256GB ,23.990.000,ipad,4.5,100
80,iPad Air 4 Wifi 256GB ,21.290.000,ipad,4.5,100
81,Samsung Galaxy Tab S7 FE 4G ,13.990.000,ipad,4.5,100
82,Samsung Galaxy Tab S7 ,18.990.000,ipad,4.5,100
83,Samsung Galaxy Tab S7 FE WiFi ,12.990.000,ipad,4.5,100
84,Samsung Galaxy Tab S6 Lite ,9.990.000,ipad,4.5,100
85,Samsung Galaxy Tab A7 (2020) ,7.990.000,ipad,4.5,100
